,Titles,Abstracts,Production,Production_abstract_score,Production_title_score,Mean_product,Material,Material_abstract_score,Material_title_score,Mean_material
10,"Additive manufacturing of ceramics issues, potentialities, and opportunites","Additive manufacturing (AM) is a technology which has the potential not only to change the way of conventional industrial manufacturing processes, adding material instead of subtracting, but also to create entirely new production and business strategies. Since about three decades, AM technologies have been used to fabricate prototypes or models mostly from polymeric or metallic materials. Recently, products have been introduced into the market that cannot be produced in another way than additively. Ceramic materials are, however, not easy to process by AM technologies, as their processing requirements (in terms of feedstock and/or sintering) are very challenging. On the other hand, it can be expected that AM technologies, once successful, will have an extraordinary impact on the industrial production of ceramic components and, moreover, will open for ceramics new uses and new market",FDM or FFF or EAM,0.59,0.67,0.63,Metal,0.41,0.65,0.53
11,Additive Manufacturing of Dense Ceramic Parts via Direct Ink Writing of Aqueous Alumina Suspensions,"Additive manufacturing of near-net-shaped dense ceramic components has been established via room-temperature direct writing of highly loaded aqueous alumina suspensions in a layer-by-layer fashion. The effect of alumina solid loading on rheology, specimen uniformity, density, microstructure, and mechanical properties was studied. All suspensions contained a polymer binder (~5 vol.%), dispersant, and 51–58 vol.% alumina powder. Rheological measurements indicated all suspensions to be yield-pseuodoplastic, and both yield stress and viscosity were found to increase with increasing alumina solid loading. Shear rates ranging from 19.5 to 24.2/s, corresponding to viscosities of 9.8 to 17.2 Pas, for the 53–56 vol.% alumina suspensions were found to produce the best results for the 1.25-mm tip employed during writing. All parts were sintered to >98% of true density, with grain sizes ranging from 3.2 to 3.7 lm. The average ﬂexure strength, which ranged from 134 to 157 MPa, was not inﬂuenced by the alumina solid loading.
",SLM or DMLS,0.52,0.57,0.5449999999999999,Metal,0.45,0.49,0.47
12,Additive Manufacturing of Glass,"Selective laser melting (SLM) is a technique for the additive manufacturing (AM) of metals, plastics, and even ceramics. This paper explores using SLM for depositing glass structures. A CO2 laser is used to locally melt portions of a powder bed to study the effects of process parameters on stationary particle formation as well as continuous line quality. Numerical modeling is also applied to gain insight into the physical process. The experimental and numerical results indicate that the absorptivity of the glass powder is nearly constant with respect to the processing parameters. These results are used to deposit layered single-track wide walls to demonstrate the potential of using the SLM process for building transparent parts. Finally, the powder bed process is compared to a wire-fed approach. AM of glass is relevant for gradient index optics, systems with embedded optics, and the formation of hermetic seals",SLM or DMLS,0.52,0.84,0.6799999999999999,Metal,0.52,0.55,0.535
13,Additive Manufacturing of Optically Transparent Glass,"We present a fully functional material extrusion
printer for optically transparent glass. The printer is
comprised of scalable modular elements, able to
operate at the high temperatures required to process
glass from a molten state to an annealed product. We
demonstrate a process enabling the construction of 3D
parts as described by Computer Aided Design (CAD)
models. Processing parameters such as temperature,
which control glass viscosity, and flow rate, layer
height and feed rate, can thus be adjusted to tailor
printing to the desired component, its shape and its
properties. We explored, defined and hard‐coded
geometric constraints and coiling patterns as well as
the integration of various colors into the current
controllable process, contributing to a new design and
manufacturing space. We report on performed
characterization of the printed material executed to
determine their morphological, mechanical and optical
properties. Printed parts demonstrated strong adhesion
between layers and satisfying optical clarity.
Demonstration of this molten glass 3D printer and
fabricated objects demonstrates the production of
parts, which are highly repeatable, enable light
transmission, and resemble the visual and mechanical
performance of glass constructs that are conventionally
obtained. Utilizing the optical nature of glass, complex
caustic patterns were created by projecting light
through the printed objects. The 3D printed glass
objects described here can thus be extended to
implementations across scales and functional domains
including product and architectural design. This
research lies at the intersection of design, engineering,
science and art, representing a highly interdisciplinary
approach.",SLM or DMLS,0.59,0.64,0.615,Ceramic,0.56,0.58,0.5700000000000001
14,An experimental demonstration of effective Curved Layer Fused Filament Fabrication utilising a parallel deposition robot,"Fused   Filament   Fabrication   (FFF)   is   an   additive   manufacturing   (AM)   method   that   relies   on  the  thermal
extrusion   of   a  thermoplastic   feedstock   from   a  mobile   deposition   head.   Conventional   FFF   constructs   com-
ponents   from   stacks   of   individual   extruded   layers   using   tool   paths   with   ﬁxed   z-values   in   each   individual
layer.   Consequently,   the   manufactured   components   often   contain   inherent   weaknesses   in  the   z-axis   due
to  the  relatively   weak   thermal   fusion   bonding   that   occurs   between   individual   layers,   as  well   as   poor   sur-
face  ﬁnish   in   shallow   sloped   contours.   This   study   demonstrates   the   use   of   Curved   Layer   FFF   (CLFFF)   tool
paths   in   tandem   with   a  commercially   available   parallel,   or   delta,  style   FFF  system   to  allow   the  deposition
head   to   follow   the   topology   of  the   component.   By   incorporating   a   delta   robot   and   CLFFF   tool   paths   in  this
way,   improvements   in   the   surface   ﬁnish   of  the   manufactured   parts   has   been   observed,   and   time   costs
associated   with   Cartesian   robot   based   CLFFF   manufacturing   have   been   notably   reduced.   Furthermore,
employing   a  delta   robot   provides   additional   ﬂexibility   to   CLFFF   manufacturing   and   increases   the   feasi-
bility   of  its   application   for   advanced   manufacturing.   The   study   has   also   demonstrated   a  viable   approach
to   multi-material   FFF   by   decoupling   support   structure   and   part   manufacture   into   regions   of  CLFFF   and
static   z   tool   pathing   in   an   appropriate   fashion.",SLM or DMLS,0.52,0.65,0.585,Metal,0.35,0.39,0.37
15,Anisotropic material properties of fused deposition modeling ABS,"Rapid Prototyping (RP) technologies provide the ability to fabricate initial prototypes from various model materials. Stratasys Fused Deposition Modeling (FDM) is a typical RP process that can fabricate prototypes out of ABS plastic. To predict the mechanical behavior of FDM parts, it is critical to understand the material properties of the raw FDM process material, and the effect that FDM build parameters have on anisotropic material properties. This paper characterizes the properties of ABS parts fabricated by the FDM 1650. Using a Design of Experiment (DOE) approach, the process parameters of FDM, such as raster orientation, air gap, bead width, color, and model temperature were examined. Tensile strengths and compressive strengths of directionally fabricated specimens were measured and compared with injection molded FDM ABS P400 material. For the FDM parts made with a 0.003 inch overlap between roads, the typical tensile strength ranged between 65 and 72 percent of the strength of injection molded ABS P400. The compressive strength ranged from 80 to 90 percent of the injection molded FDM ABS. Several build rules for designing FDM parts were formulated based on experimental results",FDM or FFF or EAM,0.45,0.59,0.52,Polymer,0.38,0.47,0.425
16,Anisotropic Mechanical Behavior of AlSi10Mg Parts Produced by Selective Laser Melting,"AlSi 10Mg cylinders produced by laser powder-bed fusion have somewhat different yield behavior for cylinders with XY orientation and Z orientation. Earlier yielding for Z-oriented samples is likely related to micro-residual stress, resulting from the difference in thermal expansion of the aluminum matrix and cellular silicon. Smaller tensile reduction in area of Z-oriented samples is related to tearing along the softer region at the boundaries of melt pools, where the silicon cell spacing is larger. Indentation measurements conﬁrmed the lower hardness at the edges of melt pools.
",SLM or DMLS,0.5,0.72,0.61,Metal,0.43,0.42,0.425
17,Anisotropic mechanical properties of ABS parts fabricated by fused deposition modelling,"Layered manufacturing (LM) methods have traditionally been used for rapid prototyping (RP) purposes, with the primary intention of fabricating models for visualization, design verification, and kinematic functionality testing of developing assemblies during the product realization process (Caulfield et al., 2007). Without any need for tooling or fixturing, LM allows for the computer-controlled fabrication of parts in a single setup directly from a computerized solid model. These characteristics have proven beneficial in regard to the objective of reducing the time needed to complete the product development cycle ",FDM or FFF or EAM,0.5,0.6,0.55,Metal,0.34,0.47,0.405
18,Assessing the Structural Integrity of Additive Manufactured Metal Parts with X-ray CT,"This paper presents a study of structural integrity assessment of the internal features of  additive manufactured (AM) metal parts using X-ray computed tomography (CT). Recent work [1]–[3] has shown the significant progression of CT technology as a tool for assesing AM processes since earlier conferences/workshops [4]. While previous work [5] provided some insight for evaluation of dimensional measurements of AM parts made of plastics, this work focuses on both internal structures and metrology of AM metal parts. The prototype parts analyzed in the present work were manufactured by laser-based powder bed fusion (LPBF) as well as electron-beam melting (EBM). Figure 1 shows both optical and 3D CAD volume images of an AM compressor wheel. This part was manufactured using Al-Si10Mg pre-alloyed powders and the LPBF technique. Specific process parameters include a layer thickness of 30 µm, hatch spacing of about 100-150 µm, average beam velocity of about 2000 mm/s, power of 90-100% of full power (400W) and a preheating temperature of 200°C using typical laser machine processing parameters. The computer-aided design (CAD) model details the internal structures. Although the hollow internal structures shown in Figure 1 are not typically part of conventionally processed versions of this compressor wheel design, the cavity paths (i.e. with diameters of 0.8 mm and 0.5 mm) were deliberately added in the CAD model in order to demonstrate the integration of AM and CT in the present study. The second part, a cooling water manifold, was made using Ti-6Al4V pre-alloyed powders and the EBM technique. In particular, process parameters included sequential build layer thickness of 50 µm and a preheat temperature of around 750°C along with typical EBM machine processing parameters. Figure 2 and Figure 3 show optical and CT images of the EBM-AM Ti-6Al-4V cooling water manifold to illustrate both AM and CT capabilities in this complex design. CT scans were acquired by a metrological CT system, the Nikon’s MCT 225, which has a maximum permissible error (MPE) equal to (9+L/50) μm (where L is length in mm) [6], in accordance with the VDI/VDE 2630 guidelines [7] . The CT data were processed for part-to-CAD evaluation and void analysis by using VGStudio MAX 2.2, a software from Volume Graphics GmbH ",SLM or DMLS,0.53,0.4,0.465,Polymer,0.36,0.24,0.3
19,Binding Mechanisms in Selective Laser Sintering and Selective Laser Melting,"Layer Manufacturing (LM) technologies like Selective Laser Sintering (SLS) were developed in the late 80’s as techniques for Rapid Prototyping (RP). Today, SLS - as well as its derived technology Selective Laser Melting (SLM) - is used as well for prototyping, tooling and manufacturing purposes. This widening of applications is caused mainly by the possibility to process a large variety of materials, resulting in a broad range of physical and m echanical properties.  This paper presents a survey of the various binding mechanisms in SLS and SLM, which are responsible for the broad range of materials and applications. Basic binding mechanisms involve solid state sintering, chemically induced binding, liquid phase sintering, partial melting and full melting. Many subcategories can be distinguished based on the type of structural or binder powder composition: single component powder grains (single material or alloy), composite powder grains, mixtures of different powder grains, distinct binder material (sacrificial or permanent), etc. The paper will explain how these binding mechanisms apply for sintering various types of materials: plastics, metal, ceramics and composites (e.g. glass reinforced polymers, cermets, hardmetals, etc.). It gives a survey of research done at the University of Leuven, Belgium, as well as at other European and non-European organizations. ",SLM or DMLS,0.47,0.87,0.6699999999999999,Polymer,0.36,0.48,0.42
20,"Carbon, glass and kevlar fibre reinforce polymer composites using additive manufacturing","This   study   evaluates   the   performance   of   continuous   carbon,   Kevlar   and   glass   ﬁbre   reinforced   composites
manufactured   using   the   fused   deposition   modelling   (FDM)   additive   manufacturing   technique.   The   ﬁbre
reinforced   nylon   composites   were   fabricated   using   a  Markforged   Mark   One   3D   printing   system.   The
mechanical   performance   of  the   composites   was   evaluated   both   in   tension   and   ﬂexure.   The   inﬂuence   of
ﬁbre   orientation,   ﬁbre   type   and   volume   fraction   on  mechanical   properties   were   also   investigated.   The
results   were   compared   with   that   of   both   non-reinforced   nylon   control   specimens,   and   known   material
property   values   from   literature.   It  was   demonstrated   that   of   the  ﬁbres   investigated,   those   fabricated   using
carbon   ﬁbre   yielded   the   largest   increase   in   mechanical   strength   per   ﬁbre   volume.   Its   tensile   strength
values   were   up   to  6.3   times   higher   than   those   obtained   with   the  non-reinforced   nylon   polymer.   As   the
carbon   and  glass   ﬁbre   volume   fraction   increased   so   too   did   the  level   of   air   inclusion   in  the   composite
matrix,   which   impacted   on  mechanical   performance.   As   a  result,   a  maximum   efﬁciency   in   tensile   strength
was   observed   in   glass   specimen   as  ﬁbre   content   approached   22.5%,   with   higher   ﬁbre   contents   (up   to  33%),
yielding   only   minor   increases   in   strength.",SLM or DMLS,0.59,0.6,0.595,Metal,0.56,0.7,0.63
21,Cellular Ti–6Al–4V structures with interconnected macro porosity for bone implants fabricated by selective electron beam melting,"Selective electron beam melting (SEBM) was successfully used to fabricate novel cellular Ti–6Al–4V structures for orthopaedic applications.
Micro computer tomography (lCT) analysis demonstrated the capability to fabricate three-dimensional structures with an interconnected
porosity and pore sizes suitable for tissue ingrowth and vascularization. Mechanical properties, such as compressive strength
and elastic modulus, of the tested structures were similar to those of human bone. Thus, stress-shielding effects after implantation might
be avoided due to a reduced stiffness mismatch between implant and bone. A chemical surface modification using HCl and NaOH
induced apatite formation during in vitro bioactivity tests in simulated body fluid under dynamic conditions. The modified bioactive
surface is expected to enhance the fixation of the implant in the surrounding bone as well as to improve its long-term stability.",SLM or DMLS,0.62,0.55,0.585,Ceramic,0.54,0.48,0.51
22,Combined additive manufacturing approaches in tissue engineering,"Advances introduced by additive manufacturing (AM) have signiﬁcantly improved the control over the
microarchitecture of scaffolds for tissue engineering. This has led to the ﬂourishing of research works
addressing the optimization of AM scaffolds microarchitecture to optimally trade-off between conﬂicting
requirements (e.g. mechanical stiffness and porosity level). A fascinating trend concerns the integration
of AM with other scaffold fabrication methods (i.e. ‘‘combined” AM), leading to hybrid architectures with
complementary structural features. Although this innovative approach is still at its beginning, signiﬁcant
results have been achieved in terms of improved biological response to the scaffold, especially targeting
the regeneration of complex tissues. This review paper reports the state of the art in the ﬁeld of combined
AM, posing the accent on recent trends, challenges, and future perspectives.",FDM or FFF or EAM,0.59,0.62,0.605,Polymer,0.55,0.47,0.51
23,Comparison of Residual Stresses in Inconel 718 Simple Parts Made by Electron Beam Melting and Direct Laser Metal Sintering,"Residual stress proﬁles were mapped using neutron diffraction in two simple prism builds of Inconel 718: one fabricated with electron beam melting (EBM) and the other with direct laser metal sintering. Spatially indexed stress-free cubes were obtained by electrical discharge machining (EDM) equivalent prisms of similar shape. The (311) interplanar spacings from the EDM sectioned sample were compared to the interplanar spacings calculated to fulfill stress and moment balance. We have shown that applying stress and moment balance is a necessary supplement to the measurements for the stress-free cubes with respect to accurate stress calculations in additively manufactured components. In addition, our work has shown that residual stresses in electron beam melted parts are much smaller than that of direct laser metal sintered parts most likely due to the powder preheating step in the EBM process",SLM or DMLS,0.54,0.55,0.545,Polymer,0.37,0.41,0.39
24,Correlation between porosity and processing parameters in TiAl6V4 produced by selective laser melting,"This study presents the correlation between process parameters and porosity formation in a TiAl6V4 alloy produced by selective laser melting.The porosity is investigated by 2D and 3D methods aiming to identify the mechanisms of void formation, their morphology as well as volume fraction as a function of the energy density. An evident minimum volume fraction is observed between process parameters with signiﬁcant over heating and insufﬁcient fusion. It is shown that these two marginal regions deﬁne two mechanisms of void formation. Two dominant types of voids morphology are identiﬁed and examined regarding pore orientation versus their elongation,which together with the curvature distribution analysis allow revealing critical defects.",FDM or FFF or EAM,0.51,0.73,0.62,Metal,0.4,0.41,0.405
25,Defect Formation Mechanisms in Selective Laser Melting A Review,"Defect formation is a common problem in
selective laser melting (SLM). This paper provides a
review of defect formation mechanisms in SLM. It summarizes
the recent research outcomes on defect findings
and classification, analyzes formation mechanisms of the
common defects, such as porosities, incomplete fusion
holes, and cracks. The paper discusses the effect of the
process parameters on defect formation and the impact of
defect formation on the mechanical properties of a fabricated
part. Based on the discussion, the paper proposes
strategies for defect suppression and control in SLM.",SLM or DMLS,0.53,0.53,0.53,Metal,0.42,0.38,0.4
26,Defect Morphology of Ti-6Al-4V Parts Fabricated by Selective Laser Melting and Electron Beam Melting,"In order to investigate the morphology of defects present in Selective Laser Melting (SLM) and Electron Beam Melting (EBM) processes, Ti-6Al-4V specimens were fabricated with varying porosity using non-optimum processing parameters. Defective specimens were sectioned and polished for microscopy. Image processing was adopted for statistically analyzing the characteristics of defects, such as distribution of defect area and dimensional proportion of each defect. It is found that defect morphology is influenced by process parameters as a result of a variation in the melt pool. Image processing of a cross-section could be a feasible way for calculating porosity of specimens. ",FDM or FFF or EAM,0.58,0.57,0.575,Ceramic,0.45,0.42,0.435
27,Deformation and failure behaviour of Ti-6Al-4V lattice structures manufactured by selective laser melting (SLM),"Selective laser melting (SLM) enables the manufacture
of lattice structures with highly engineered mechanical
properties that are optimised for the associated
design requirements. Such lattice structures offer high
specific strength and stiffness characteristics allowing design
freedom beyond the capacity of solid materials.
However, to apply lattices as space filling structural elements,
it is necessary to quantify their mechanical properties
such as compressive strength and stiffness under
varying geometric conditions. This work provides an experimental
investigation of the manufacturability of SLM
Ti-6Al-4V lattice struts of varying diameter and inclination.
From this investigation, lattice structures are
manufactured for varying cell topology, cell size, number
of unit cells and associated boundary conditions. The deformation
and failure behaviour of these lattices is theoretically
predicted and experimentally validated. The convergence
of mechanical properties with increasing number
of unit cells, as well as the effect of lattice topology on
mechanical behaviour and observed failures mode are
reported.",SLM or DMLS,0.54,0.48,0.51,Polymer,0.44,0.3,0.37
28,DESIGN AND TOPOLOGY OPTIMIZATION FOR ADDITIVELY MANUFACTURED STRUCTURAL PARTS A FORMULA STUDENT CASE STUDY,"Formula Student is a worldwide project for engineering students to design, build and race a small single seater racing car. The teams have to cope with rules and restrictions which concern specifications of the car such frame, engine and safety. Motorsport sector demands lightweight vehicle concepts without sacrificing performance. In that direction, high stiffness to-weight ratio must be accomplished to almost every component of the car. Consequently, the design for manufacturing is crucial to Formula Student teams. Additive Manufacturing (AM) is a technology that can effectively meet the requirements for reduced weight and high stiffness components, in contrast with convectional manufacturing processes such as milling or turning. In this work, the main guidelines for designing an Additively Manufactured part are presented and optimization techniques using ANSA and Tosca software tools are analyzed, in order to propose a redesign for a structural part of a Formula Student racecar based on AM. The AM process advantages and the flexibility offered in designing and manufacturing of complex components lead to a lighter structural part, achieving equivalent stiffness validated following extensive FEA analysis. Finally, this work tries to overcome implications of current CAD programs that are considered inadequate for designing for AM and explore the design freedoms of AM in order to get the most out of it",FDM or FFF or EAM,0.57,0.49,0.53,Metal,0.43,0.38,0.405
29,Direct metal fabrication of titanium implants with tailored materials and mechanical properties using electron beam melting technology,"The design of custom or tailored implant components has been the subject of research and development for decades. However, the economic
feasibility of fabricating such components has proven to be a challenge. New direct metal fabrication technologies such as Electron Beam Melting
(EBM) have opened up new possibilities. This paper discusses the design and fabrication of titanium implant components having tailored
mechanical properties that mimic the stiffness of bone to reduce stress shielding and bone remodeling. Finite Element Analysis was used to design
the tailored structures, and results were verified using mechanical testing.",SLM or DMLS,0.56,0.58,0.5700000000000001,Ceramic,0.51,0.56,0.535
30,"Direct Metal Laser Sintering, an additive manufacturing technology ready to produce lightweight structural parts for robotic applications","Direct metal laser sintering (DMLS) is an additive manufacturing (AM) technology for the fabrication of near netshaped parts directly from computer-aided design (CAD) data by melting together different layers with the help of a laser source. Its application for manufacturing three- dimensional objects represents one of the promising directions to solve challenging industrial problems. This approach permits to extend significantly the freedom of design and manufacture by allowing, for example, to create an object with desired shape and internal structure in a single fabrication step. The design of the part can be tailored to meet specific functions and properties (e.g. physical, mechanical, chemical, biological, etc.) using different materials. In this paper a DMLS machine was used for robotic lightweight components fabrication in an aluminium alloy. It was observed that DMLS technology not only achieved very interesting mechanical properties thanks to the very fine microstructure, but also can easily promote the development and study of lightweight lattice structures. In addition, it is envisaged to develop new custom materials, such as light metal matrix composites, suitable for the DMLS process, broadening the range of applications in different fields like space, aviation, automotive and other industries",SLM or DMLS,0.59,0.64,0.615,Metal,0.47,0.43,0.44999999999999996
